STOCKNAME,PSMAR5,PSMAR20,PSMAR60,VSMAR5,VSMAR20,VSMAR60
SK디스커버리우,-0.036,-0.092,-0.091,-0.317,-0.435,-0.461
피제이전자,0.035,0.021,0.069,-0.528,0.104,-0.143
한국전자홀딩스,0.041,0.072,0.202,-0.094,-0.731,-0.354
제주은행,0.143,0.219,0.771,0.256,0.918,3.18
LS,-0.036,-0.058,-0.067,0.19,-0.16,-0.311
녹십자,0.012,-0.08,-0.079,0.215,0.269,-0.256
대원전선,0.009,0.021,0.167,-0.755,-0.761,-0.753
대원전선우,0.002,-0.02,-0.045,-0.48,-0.732,-0.85
GS건설,-0.018,-0.07,-0.079,-0.196,-0.329,-0.455
대구백화점,-0.019,0.022,-0.007,0.602,-0.184,-0.494
카프로,0.015,0.023,0.054,-0.355,-0.235,-0.303
한일현대시멘트,-0.018,-0.057,0.096,0.015,-0.649,-0.62
삼성SDI,-0.014,-0.094,-0.024,-0.04,0.081,-0.09
삼성SDI우,-0.003,-0.068,0.119,0.078,-0.195,-0.568
인스코비,-0.017,0.073,0.181,-0.672,-0.356,0.035
대림통상,-0.022,-0.09,-0.076,0.039,-0.761,-0.788
대양제지,0.0,-0.001,0.004,,-1.0,-1.0
동구바이오제약,-0.324,-0.6,-0.562,-0.66,-0.779,-0.478
대한유화,-0.004,0.006,0.226,0.117,-0.388,-0.382
삼성공조,0.022,-0.009,0.044,-0.303,-0.346,-0.901
서부T&D,0.015,-0.005,0.012,-0.368,-0.362,-0.712
영풍제지,0.016,0.016,0.131,1.342,-0.451,-0.304
미래에셋대우,-0.006,-0.038,-0.044,-0.149,-0.248,-0.466
미래에셋대우우,-0.004,-0.037,-0.048,-0.234,-0.409,-0.666
미래에셋대우2우B,-0.002,-0.036,-0.054,-0.404,-0.337,-0.579
AK홀딩스,0.003,-0.008,0.113,-0.489,-0.713,-0.71
신송홀딩스,0.018,0.031,0.04,-0.058,0.051,-0.311
태경케미컬,-0.023,-0.106,-0.153,-0.243,-0.667,-0.923
보성파워텍,0.029,0.052,0.081,0.109,-0.151,0.099
모헨즈,-0.009,-0.048,-0.034,-0.224,-0.593,-0.68
우성사료,0.015,0.003,0.028,-0.528,-0.705,-0.767
GS리테일,0.013,0.043,0.059,-0.265,-0.026,0.018
일신석재,-0.003,-0.021,-0.034,-0.215,-0.384,-0.771
미래아이앤지,0.027,0.101,0.276,-0.724,-0.823,-0.664
사조산업,0.167,0.202,0.335,0.616,-0.082,0.647
벽산,-0.022,-0.045,-0.032,-0.312,-0.866,-0.929
한국특수형강,-0.02,-0.023,-0.038,-0.002,-0.263,-0.19
오뚜기,0.008,0.01,0.016,-0.405,-0.277,-0.409
푸른저축은행,0.015,0.025,0.058,-0.482,-0.292,-0.041
디티알오토모티브,0.008,0.03,0.056,-0.388,-0.327,-0.489
진양제약,-0.017,-0.07,-0.149,-0.381,-0.324,-0.766
네이처셀,0.011,0.022,-0.082,-0.169,-0.281,-0.508
에이프로젠 KIC,-0.006,-0.028,-0.068,0.114,-0.301,-0.471
샘표,0.009,0.011,0.026,-0.031,-0.648,-0.382
일양약품,-0.22,-0.31,-0.391,0.177,2.008,1.005
일양약품우,-0.297,-0.4,-0.448,1.592,6.102,6.928
동방아그로,0.008,0.001,0.022,-0.401,-0.84,-0.728
선도전기,0.028,0.05,0.098,-0.282,-0.756,-0.49
폴루스바이오팜,0.0,0.0,0.0,,,
이수페타시스,0.001,-0.038,-0.092,-0.23,-0.482,-0.725
대원,-0.008,-0.032,-0.027,-0.416,-0.776,-0.86
국도화학,-0.009,0.032,0.033,-0.356,-0.107,-0.217
F&F,-0.004,0.047,0.318,0.002,-0.346,-0.371
대명소노시즌,0.007,0.035,0.088,-0.369,-0.766,-0.777
한일화학,0.01,-0.008,0.043,-0.298,-0.672,-0.901
코리아써키트,-0.041,-0.136,-0.128,-0.146,-0.168,-0.536
코리아써우,-0.001,-0.067,-0.095,-0.822,-0.676,-0.94
코리아써키트2우B,-0.044,-0.118,-0.135,-0.019,0.94,-0.425
에스엠코어,-0.025,-0.093,-0.079,-0.136,-0.295,-0.58
